video,level,N_frames,total_frames,warning_count,critical_count,alert_rate,fp_reduction_pct
demo_video3.mp4,FRAME_LEVEL,0,153,17,0,0.1111111111111111,0.0
demo_video3.mp4,EVENT_LEVEL,3,153,2,0,0.013071895424836602,88.23529411764706
demo_video3.mp4,EVENT_LEVEL,5,153,1,0,0.006535947712418301,94.11764705882352
demo_video3.mp4,EVENT_LEVEL,10,153,1,0,0.006535947712418301,94.11764705882352
demo_video4.mp4,FRAME_LEVEL,0,144,96,28,0.8611111111111112,0.0
demo_video4.mp4,EVENT_LEVEL,3,144,5,3,0.05555555555555555,93.5483870967742
demo_video4.mp4,EVENT_LEVEL,5,144,5,1,0.041666666666666664,95.16129032258065
demo_video4.mp4,EVENT_LEVEL,10,144,4,1,0.034722222222222224,95.96774193548387
